规则名称	校验内容
证件号码校验	"（一）如证件类型填写“居民身份证或临时居民身份证”，则对证件号码进行如下检查：
由15或18位数字组成（或17位数字加字母X）
前2位必须是国家规定的行政区划代码（省级）
对“出生日期”位的检查要求为：1≤月份≤12，1≤日期≤31
（二）填写“居民身份证或临时居民身份证”、“港澳居民往来内地通行证”、“台湾居民来往大陆通行证”、“港澳居民居住证”、“台湾居民居住证”、“外国护照”、“中华人民共和国因公护照”、“中华人民共和国因私护照”、“统一社会信用代码”、“组织机构代码”时，不得使用全角字符。
（三）证件号码中如出现“(”（或“[”、“{”），则其后必须相应出现 “}”（或“）”、“]”)。
（四）证件号码字段如未使用“@N”替代符号，则证件号码类型字段不得使用替代符号。
（五） 所有证件号码必须大于或等于6位。
（六）如有规则外的证件号码，请上报至反洗钱中心做例外处理"
账号校验	"（一）账号中不得含有除数字、字母、“-”之外的字符，且不得使用全角字符。
（二）账号字段不得全部为连续相同的数字，例如“11111111111111”等。                                                          （三）账号字段不得只填写一位数字，如“0”等。"
网点代码校验	"填写金融机构代码或者银行内部唯一代码。（金融机构代码和银行内部唯一代码必须均报备。）
1，“金融机构网点代码”无论填写“银行内部机构号”或者金融机构代码，均必须在报送机构所提供的“网点代码表”中。
2，对方网点代码类型必须是（11：现代化支付系统行号；
                                            12：人民币结算账户管理系统行号；
                                            13：银行内部机构号；
                                            14：金融机构代码；
                                            99：其他。），其网点代码不做校验。"
日期和时间校验	"（一）大额交易和可疑交易的“交易时间TSTM”应按照规定时间精度填写。对“时”、“分”、“秒”位检查校验要求为：0≤时<24，0≤分<60，0≤秒<60。
（二）在大额交易报文中，“大额交易发生日期HTDT”要与“交易时间TSTM”中的“年年年年月月日日”部分相同。
（三）在可疑交易报文中，“销户时间CATM”要晚于或等于“开户时间OATM”。
（四）在大额交易报告的新增报文中，“交易日期TSTM” 中的“年年年年月月日日”部分要早于或等于文件名中的报送日期。
（五）在可疑交易报告的新增报文中，“交易日期TSTM” 中的“年年年年月月日日”部分要早于或等于文件名中报送日期。"
名称校验	"（一）客户名称不能仅由数字组成。【全角数字也属于数字】
（二）除使用替代符号填写客户名称的情况外，客户名称字段的长度不得少于2个字符，如根据“客户身份证件/证明文件类型CITP”判定客户类别为对公客户，则“客户名称/姓名CTNM”字段长度不得少于4个字符。
（三）如对公客户“客户名称/姓名”全称确少于4个字符，则报告机构应在其后用括号对客户身份或名称进行解释。例如对公客户名称为“四五九”，且经客户身份识别后，报告机构确定该客户为某国家安全单位，则“客户名称/姓名CTNM”可填写为“四五九(国家安全单位)”。"
地区代码校验	"1.当交易发生地为中国大陆地区时，前3位填写CHN或特殊经济区类型代码，后6位按照大陆地区行政区划代码填写区、县级粒度的代码；
2.当交易发生地为中国大陆地区以外的国家或地区时，前3位填写国别代码，后6位填写000000；
3.行政区划代码以国家统计局公布的最新县及县以上行政区划代码为准。（需要公布）
4.国别代码使用GB/T 2659－2000 世界各国和地区名称代码中的3位字符代码。（需要公布）
5.特殊经济区类型代码按照接口规范V1.0版10.4节 特殊经济区类型代码表填写。
备注：10.4为：
其中：
Z01：表示中国大陆地区保税区；
Z02：表示中国大陆地区加工区；
Z03：表示中国大陆地区钻石交易所。"
特殊字符校验	交易要素中不得出现“？”、“！”、“$”、“%”、“^”、“*”字符。（“？”和“！”包含全角和半角两种格式，其他字符为半角字符。注意："&"、"<"、">"不作为特殊字符，但是填写时必须转义，即："&"使用"&amp;"代替， "<" 使用"&lt;"代替，">"使用“&gt;”代替。）
替代符校验	该交易要素项不得填写替代符
大额特征值校验	"对大额报文特有的大额特征值进行校验（校验交易金额是否满足大额特征要求）。如果该特征下的交易存在小币种（除国家外汇管理局每月公布的外币汇率）的交易，则不做该校验。
币种、交易金额和大额特征值代码必须符合以下要求：
0501：当日单笔或者累计交易人民币5万元以上（含5万元）、外币等值1万美元以上（含1万美元）的现金缴存、现金支取、现金结售汇、现钞兑换、现金汇款、现金票据解付及其他形式的现金收支；
0502：非自然人客户银行账户与其他的银行账户之间当日单笔或者累计交易人民币200万元以上（含200万元）、外币等值20万美元以上（含20万美元）的款项划转；
0503：自然人客户银行账户与其他的银行账户之间当日单笔或者累计人民币50万元以上（含50万元）、外币等值10万美元以上（含10万美元）的境内款项划转；
0504：自然人客户银行账户与其他的银行账户之间当日单笔或者累计人民币20万元以上（含20万元）、外币等值1万美元以上（含1万美元）的跨境款项划转。"
大额交易单边累计原则校验	某客户某日某一大额交易特征下的交易，按资金收付标志（TSDR）为“收（01）”或“付（02）”进行单边累计计算后，累计交易金额满足该大额交易特征的标准；
大额交易孰低原则校验	某客户某日同一大额交易特征的同一资金收付方向下，若同时存在人民币交易和外币交易，则交易金额按人民币和美元分别进行折算，折算后，按人民币折算金额、按美元折算金额两者之中至少有一个金额满足该大额交易特征的人民币或美元标准。
可疑交易特征校验	“可疑交易特征STCR”应填写报告机构在反洗钱二代系统中报备过的本机构自主定义《附2.可疑交易特征代码与交易监测标准对照表》（银反洗中心发[2017]23号）中的可疑交易特征代码。
码表校验	按照数据字典和第10章相关代码要求的代码值进行填写
数据字典校验	该字段内容必须填写接口规范数据字典填写规则中规定的内容。
